sex,age_months,L,M,S
F,198.5,1,162.7165,0.04141
F,199.5,1,162.7425,0.04136
F,200.5,1,162.767,0.0413
F,201.5,1,162.7904,0.04125
F,202.5,1,162.8126,0.04119
F,203.5,1,162.834,0.04114
F,204.5,1,162.8545,0.04109
F,205.5,1,162.8743,0.04104
F,206.5,1,162.8935,0.04099
F,207.5,1,162.912,0.04094
F,208.5,1,162.93,0.04089
F,209.5,1,162.9476,0.04084
F,210.5,1,162.9649,0.0408
F,211.5,1,162.9817,0.04075
F,212.5,1,162.9983,0.04071
F,213.5,1,163.0144,0.04066
F,214.5,1,163.03,0.04062
F,215.5,1,163.0451,0.04058
F,216.5,1,163.0595,0.04053
F,217.5,1,163.0733,0.04049
F,218.5,1,163.0862,0.04045
F,219.5,1,163.0982,0.04041
F,220.5,1,163.1092,0.04037
F,221.5,1,163.1192,0.04034
F,222.5,1,163.1279,0.0403
F,223.5,1,163.1355,0.04026
F,224.5,1,163.1418,0.04023
F,225.5,1,163.1469,0.04019
F,226.5,1,163.1508,0.04016
F,227.5,1,163.1534,0.04012
F,228.5,1,163.1548,0.04009
