sex,age_months,L,M,S
F,136.5,-1.4436,17.4847,0.12882
F,137.5,-1.4389,17.5464,0.12914
F,138.5,-1.4339,17.6088,0.12946
F,139.5,-1.4288,17.6719,0.12978
F,140.5,-1.4235,17.7357,0.13009
F,141.5,-1.418,17.8001,0.1304
F,142.5,-1.4123,17.8651,0.1307
F,143.5,-1.4065,17.9306,0.13099
F,144.5,-1.4006,17.9966,0.13129
F,145.5,-1.3945,18.063,0.13158
F,146.5,-1.3883,18.1297,0.13186
F,147.5,-1.3819,18.1967,0.13214
F,148.5,-1.3755,18.2639,0.13241
F,149.5,-1.3689,18.3312,0.13268
F,150.5,-1.3621,18.3986,0.13295
F,151.5,-1.3553,18.466,0.13321
F,152.5,-1.3483,18.5333,0.13347
F,153.5,-1.3413,18.6006,0.13372
F,154.5,-1.3341,18.6677,0.13397
F,155.5,-1.3269,18.7346,0.13421
F,156.5,-1.3195,18.8012,0.13445
F,157.5,-1.3121,18.8675,0.13469
F,158.5,-1.3046,18.9335,0.13492
F,159.5,-1.297,18.9991,0.13514
F,160.5,-1.2894,19.0642,0.13537
F,161.5,-1.2816,19.1289,0.13559
F,162.5,-1.2739,19.1931,0.1358
F,163.5,-1.2661,19.2567,0.13601
F,164.5,-1.2583,19.3197,0.13622
F,165.5,-1.2504,19.382,0.13642
F,166.5,-1.2425,19.4437,0.13662
F,167.5,-1.2345,19.5045,0.13681
F,168.5,-1.2266,19.5647,0.137
F,169.5,-1.2186,19.624,0.13719
F,170.5,-1.2107,19.6824,0.13738
F,171.5,-1.2027,19.74,0.13756
F,172.5,-1.1947,19.7966,0.13774
F,173.5,-1.1867,19.8523,0.13791
F,174.5,-1.1788,19.907,0.13808
F,175.5,-1.1708,19.9607,0.13825
F,176.5,-1.1629,20.0133,0.13841
F,177.5,-1.1549,20.0648,0.13858
F,178.5,-1.147,20.1152,0.13873
F,179.5,-1.139,20.1644,0.13889
F,180.5,-1.1311,20.2125,0.13904
F,181.5,-1.1232,20.2595,0.1392
F,182.5,-1.1153,20.3053,0.13934
F,183.5,-1.1074,20.3499,0.13949
F,184.5,-1.0996,20.3934,0.13963
F,185.5,-1.0917,20.4357,0.13977
F,186.5,-1.0838,20.4769,0.13991
F,187.5,-1.076,20.517,0.14005
F,188.5,-1.0681,20.556,0.14018
F,189.5,-1.0603,20.5938,0.14031
F,190.5,-1.0525,20.6306,0.14044
F,191.5,-1.0447,20.6663,0.14057
F,192.5,-1.0368,20.7008,0.1407
F,193.5,-1.029,20.7344,0.14082
F,194.5,-1.0212,20.7668,0.14094
F,195.5,-1.0134,20.7982,0.14106
F,196.5,-1.0055,20.8286,0.14118
F,197.5,-0.9977,20.858,0.1413
F,198.5,-0.9898,20.8863,0.14142
F,199.5,-0.9819,20.9137,0.14153
F,200.5,-0.974,20.9401,0.14164
F,201.5,-0.9661,20.9656,0.14176
F,202.5,-0.9582,20.9901,0.14187
F,203.5,-0.9503,21.0138,0.14198
F,204.5,-0.9423,21.0367,0.14208
F,205.5,-0.9344,21.0587,0.14219
F,206.5,-0.9264,21.0801,0.1423
F,207.5,-0.9184,21.1007,0.1424
F,208.5,-0.9104,21.1206,0.1425
F,209.5,-0.9024,21.1399,0.14261
F,210.5,-0.8944,21.1586,0.14271
F,211.5,-0.8863,21.1768,0.14281
F,212.5,-0.8783,21.1944,0.14291
F,213.5,-0.8703,21.2116,0.14301
F,214.5,-0.8623,21.2282,0.14311
F,215.5,-0.8542,21.2444,0.1432
F,216.5,-0.8462,21.2603,0.1433
F,217.5,-0.8382,21.2757,0.1434
F,218.5,-0.8301,21.2908,0.14349
F,219.5,-0.8221,21.3055,0.14359
F,220.5,-0.814,21.32,0.14368
F,221.5,-0.806,21.3341,0.14377
F,222.5,-0.798,21.348,0.14386
F,223.5,-0.7899,21.3617,0.14396
F,224.5,-0.7819,21.3752,0.14405
F,225.5,-0.7738,21.3884,0.14414
F,226.5,-0.7658,21.4014,0.14423
F,227.5,-0.7577,21.4143,0.14432
F,228.5,-0.7496,21.4269,0.14441
